model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
MLP,TERRA,t+2,test,1.0224165581780906,144,2.4657,4.975,0.852,35,3.9439,109,1.991
MLP,TERRA,t+3,test,1.0224165581780906,144,3.299,5.6415,0.8039,35,4.1713,109,3.019
MLP,TERRA,t+4,test,1.0224165581780906,144,3.9148,6.0911,0.7678,35,4.0966,109,3.8564
MLP,TERRA,t+5,test,1.0224165581780906,144,4.5776,6.6077,0.7262,35,5.2501,109,4.3617
MLP,TERRA,t+6,test,1.0224165581780906,144,5.1289,7.2251,0.6771,35,4.7842,109,5.2396
MLP,TERRA,t+7,test,1.0224165581780906,144,5.8773,8.1163,0.6058,35,5.3805,109,6.0368
MLP,TERRA,ALL,test,1.0224165581780906,1008,3.8253,6.216,0.7652,245,4.4853,763,3.6134
LSTM,TERRA,t+1,train,3.0,750,1.2753,2.9604,0.9694,238,1.7003,512,1.0778
LSTM,TERRA,t+2,train,3.0,750,2.3423,4.6957,0.9227,238,2.5959,512,2.2244
LSTM,TERRA,t+3,train,3.0,750,3.2342,5.8393,0.8798,238,3.3414,512,3.1844
LSTM,TERRA,t+4,train,3.0,750,4.0055,6.6847,0.8417,238,3.8208,512,4.0914
LSTM,TERRA,t+5,train,3.0,750,4.6076,7.3796,0.806,238,4.1701,512,4.8109
LSTM,TERRA,t+6,train,3.0,750,5.0821,7.8803,0.7775,238,4.6091,512,5.302
LSTM,TERRA,t+7,train,3.0,750,5.4659,8.3474,0.749,238,4.9295,512,5.7152
LSTM,TERRA,ALL,train,3.0,5250,3.7161,6.5009,0.8503,1666,3.5953,3584,3.7723
LSTM,TERRA,t+1,val,3.0,129,1.0568,2.7612,0.9466,34,1.4863,95,0.9031
LSTM,TERRA,t+2,val,3.0,129,1.9991,3.9988,0.8867,34,2.3718,95,1.8657
LSTM,TERRA,t+3,val,3.0,129,2.5064,4.0894,0.881,34,2.3883,95,2.5487
LSTM,TERRA,t+4,val,3.0,129,2.7761,4.123,0.8783,34,2.3538,95,2.9272
LSTM,TERRA,t+5,val,3.0,129,3.2142,4.4673,0.8566,34,2.6522,95,3.4153
LSTM,TERRA,t+6,val,3.0,129,3.7169,5.1066,0.8131,34,3.1655,95,3.9143
LSTM,TERRA,t+7,val,3.0,129,4.298,5.8795,0.7655,34,3.6429,95,4.5325
LSTM,TERRA,ALL,val,3.0,903,2.7954,4.4391,0.8613,238,2.5801,665,2.8724
LSTM,TERRA,t+1,test,3.0,143,1.7313,3.9727,0.9077,34,3.7681,109,1.096
LSTM,TERRA,t+2,test,3.0,143,2.8514,5.2046,0.836,34,4.126,109,2.4539
LSTM,TERRA,t+3,test,3.0,143,3.6068,6.0054,0.7752,34,4.5786,109,3.3036
LSTM,TERRA,t+4,test,3.0,143,3.8808,6.3786,0.7428,34,4.6444,109,3.6426
LSTM,TERRA,t+5,test,3.0,143,4.3623,6.8427,0.7045,34,5.8781,109,3.8895
LSTM,TERRA,t+6,test,3.0,143,4.8002,7.3971,0.6608,34,5.5332,109,4.5715
LSTM,TERRA,t+7,test,3.0,143,5.671,8.1236,0.6053,34,5.8652,109,5.6104
LSTM,TERRA,ALL,test,3.0,1001,3.8434,6.4048,0.7487,238,4.9134,763,3.5096
Ridge,METEO,t+1,train,1.014832669554902,1108,1.7702,3.4134,0.9607,331,1.8886,777,1.7197
Ridge,METEO,t+2,train,1.014832669554902,1108,2.8387,4.8641,0.9198,331,2.8528,777,2.8327
Ridge,METEO,t+3,train,1.014832669554902,1108,3.6636,5.731,0.888,331,3.4164,777,3.7689
Ridge,METEO,t+4,train,1.014832669554902,1108,4.3167,6.3942,0.8598,331,3.8958,777,4.4959
Ridge,METEO,t+5,train,1.014832669554902,1108,4.7892,6.8975,0.8364,331,4.3427,777,4.9794
Ridge,METEO,t+6,train,1.014832669554902,1108,5.1315,7.3338,0.8145,331,4.6399,777,5.3409
Ridge,METEO,t+7,train,1.014832669554902,1108,5.4409,7.6733,0.7963,331,5.0749,777,5.5968
Ridge,METEO,ALL,train,1.014832669554902,7756,3.993,6.2023,0.8684,2317,3.7301,5439,4.1049
Ridge,METEO,t+1,val,1.014832669554902,135,1.5184,2.6799,0.957,37,1.6736,98,1.4598
Ridge,METEO,t+2,val,1.014832669554902,135,2.678,4.2065,0.8928,37,2.9324,98,2.5819
Ridge,METEO,t+3,val,1.014832669554902,135,3.3068,4.5514,0.8735,37,2.7657,98,3.5111
Ridge,METEO,t+4,val,1.014832669554902,135,3.8843,5.0588,0.8419,37,2.7342,98,4.3185
Ridge,METEO,t+5,val,1.014832669554902,135,4.8197,6.0661,0.7709,37,3.3083,98,5.3903
Ridge,METEO,t+6,val,1.014832669554902,135,5.4997,6.9686,0.6948,37,3.7649,98,6.1547
Ridge,METEO,t+7,val,1.014832669554902,135,6.1575,7.8311,0.6262,37,4.5787,98,6.7536
Ridge,METEO,ALL,val,1.014832669554902,945,3.9806,5.5789,0.8099,259,3.1083,686,4.31
Ridge,METEO,t+1,test,1.014832669554902,144,2.1527,4.1374,0.9011,35,3.5719,109,1.697
Ridge,METEO,t+2,test,1.014832669554902,144,3.3676,5.3029,0.8318,35,3.9931,109,3.1667
Ridge,METEO,t+3,test,1.014832669554902,144,4.3535,6.4627,0.7427,35,5.0451,109,4.1315
Ridge,METEO,t+4,test,1.014832669554902,144,4.8436,7.0084,0.6927,35,5.4582,109,4.6462
Ridge,METEO,t+5,test,1.014832669554902,144,5.6585,7.9854,0.6002,35,7.1854,109,5.1682
Ridge,METEO,t+6,test,1.014832669554902,144,6.0974,8.4868,0.5545,35,6.2767,109,6.0398
Ridge,METEO,t+7,test,1.014832669554902,144,6.7904,9.0789,0.5067,35,6.7414,109,6.8061
Ridge,METEO,ALL,test,1.014832669554902,1008,4.7519,7.1148,0.6923,245,5.4674,763,4.5222
RF,METEO,t+1,train,9.228271956173026,1108,1.5457,3.4608,0.9596,331,1.5591,777,1.5399
RF,METEO,t+2,train,9.228271956173026,1108,2.5452,4.8252,0.9211,331,2.2916,777,2.6532
RF,METEO,t+3,train,9.228271956173026,1108,3.3094,5.5412,0.8953,331,2.7626,777,3.5423
RF,METEO,t+4,train,9.228271956173026,1108,3.9204,6.1264,0.8713,331,3.2059,777,4.2247
RF,METEO,t+5,train,9.228271956173026,1108,4.3746,6.589,0.8507,331,3.597,777,4.7058
RF,METEO,t+6,train,9.228271956173026,1108,4.769,7.0443,0.8288,331,3.9826,777,5.1041
