model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
LSTM,TERRA,t+6,val,3.0,129,4.0896,5.1117,0.8128,34,4.2867,95,4.0191
LSTM,TERRA,t+7,val,3.0,129,4.461,5.76,0.7749,34,4.3324,95,4.507
LSTM,TERRA,ALL,val,3.0,903,3.333,4.5998,0.8511,238,3.7316,665,3.1903
LSTM,TERRA,t+1,test,3.0,107,3.7087,5.9718,0.8204,23,6.9085,84,2.8326
LSTM,TERRA,t+2,test,3.0,107,3.977,6.1816,0.8016,23,5.4754,84,3.5667
LSTM,TERRA,t+3,test,3.0,107,4.4632,6.6974,0.7614,23,4.3905,84,4.4831
LSTM,TERRA,t+4,test,3.0,107,4.764,7.1278,0.7269,23,4.1178,84,4.941
LSTM,TERRA,t+5,test,3.0,107,5.0842,7.3429,0.7104,23,5.6757,84,4.9223
LSTM,TERRA,t+6,test,3.0,107,5.716,7.9549,0.6655,23,5.1366,84,5.8746
LSTM,TERRA,t+7,test,3.0,107,5.9912,8.2874,0.6494,23,5.024,84,6.2561
LSTM,TERRA,ALL,test,3.0,749,4.8149,7.1256,0.7341,161,5.2469,588,4.6966
Ridge,METEO,t+1,train,6.387926357773329,1108,10.2949,12.7988,0.4476,331,8.832,777,10.918
Ridge,METEO,t+2,train,6.387926357773329,1108,10.2709,12.7716,0.447,331,8.6798,777,10.9487
Ridge,METEO,t+3,train,6.387926357773329,1108,10.251,12.7641,0.4443,331,8.5771,777,10.964
Ridge,METEO,t+4,train,6.387926357773329,1108,10.2348,12.7571,0.4421,331,8.4074,777,11.0132
Ridge,METEO,t+5,train,6.387926357773329,1108,10.2548,12.7806,0.4382,331,8.3898,777,11.0493
Ridge,METEO,t+6,train,6.387926357773329,1108,10.2279,12.7363,0.4405,331,8.3823,777,11.0142
Ridge,METEO,t+7,train,6.387926357773329,1108,10.2172,12.7479,0.4377,331,8.3819,777,10.999
Ridge,METEO,ALL,train,6.387926357773329,7756,10.2502,12.7652,0.4426,2317,8.5215,5439,10.9866
Ridge,METEO,t+1,val,6.387926357773329,135,9.9774,11.8215,0.1627,37,9.0328,98,10.3341
Ridge,METEO,t+2,val,6.387926357773329,135,9.9578,11.7776,0.1598,37,8.5853,98,10.476
Ridge,METEO,t+3,val,6.387926357773329,135,10.1911,11.9561,0.127,37,8.8801,98,10.686
Ridge,METEO,t+4,val,6.387926357773329,135,10.4798,12.2942,0.0662,37,9.2166,98,10.9568
Ridge,METEO,t+5,val,6.387926357773329,135,10.8215,12.8051,-0.0209,37,9.5205,98,11.3126
Ridge,METEO,t+6,val,6.387926357773329,135,10.9281,12.9753,-0.0582,37,9.4662,98,11.48
Ridge,METEO,t+7,val,6.387926357773329,135,11.2205,13.6377,-0.1337,37,9.6157,98,11.8264
Ridge,METEO,ALL,val,6.387926357773329,945,10.5109,12.4835,0.0483,259,9.1882,686,11.0103
Ridge,METEO,t+1,test,6.387926357773329,144,11.8139,14.6902,-0.2474,35,12.0366,109,11.7424
Ridge,METEO,t+2,test,6.387926357773329,144,11.661,14.3318,-0.2283,35,11.0234,109,11.8657
Ridge,METEO,t+3,test,6.387926357773329,144,11.5616,14.0831,-0.2218,35,10.1248,109,12.0229
Ridge,METEO,t+4,test,6.387926357773329,144,11.6411,14.414,-0.3,35,9.6576,109,12.278
Ridge,METEO,t+5,test,6.387926357773329,144,11.8276,14.8218,-0.3775,35,10.6548,109,12.2041
Ridge,METEO,t+6,test,6.387926357773329,144,12.0333,15.4591,-0.4783,35,10.2715,109,12.5991
Ridge,METEO,t+7,test,6.387926357773329,144,11.8607,14.9865,-0.3441,35,10.1334,109,12.4154
Ridge,METEO,ALL,test,6.387926357773329,1008,11.7713,14.69,-0.3116,245,10.5575,763,12.1611
RF,METEO,t+1,train,7.27440308506085,1108,9.1141,11.601,0.5461,331,8.6634,777,9.3061
RF,METEO,t+2,train,7.27440308506085,1108,9.1387,11.5601,0.5469,331,8.5651,777,9.383
RF,METEO,t+3,train,7.27440308506085,1108,9.1582,11.5398,0.5458,331,8.3563,777,9.4999
RF,METEO,t+4,train,7.27440308506085,1108,9.0943,11.4811,0.5481,331,8.1935,777,9.478
RF,METEO,t+5,train,7.27440308506085,1108,9.0859,11.4434,0.5496,331,8.2062,777,9.4607
RF,METEO,t+6,train,7.27440308506085,1108,9.111,11.4454,0.5482,331,8.3102,777,9.4521
RF,METEO,t+7,train,7.27440308506085,1108,9.1731,11.4854,0.5435,331,8.2944,777,9.5475
RF,METEO,ALL,train,7.27440308506085,7756,9.125,11.5082,0.547,2317,8.3699,5439,9.4467
RF,METEO,t+1,val,7.27440308506085,135,9.4547,10.9158,0.2861,37,8.6506,98,9.7583
RF,METEO,t+2,val,7.27440308506085,135,9.3157,10.885,0.2823,37,8.0123,98,9.8077
RF,METEO,t+3,val,7.27440308506085,135,9.4593,11.0441,0.2551,37,7.8859,98,10.0533
RF,METEO,t+4,val,7.27440308506085,135,9.6611,11.1622,0.2303,37,8.1924,98,10.2156
RF,METEO,t+5,val,7.27440308506085,135,9.6784,11.2455,0.2126,37,8.2855,98,10.2042
RF,METEO,t+6,val,7.27440308506085,135,9.6925,11.3014,0.1973,37,8.1314,98,10.2819
RF,METEO,t+7,val,7.27440308506085,135,9.8824,11.6462,0.1732,37,8.0888,98,10.5596
RF,METEO,ALL,val,7.27440308506085,945,9.592,11.1741,0.2375,259,8.1781,686,10.1258
RF,METEO,t+1,test,7.27440308506085,144,9.525,11.6101,0.2209,35,10.2119,109,9.3044
RF,METEO,t+2,test,7.27440308506085,144,9.3559,11.4848,0.2112,35,9.3152,109,9.369
RF,METEO,t+3,test,7.27440308506085,144,9.2485,11.3919,0.2005,35,8.8044,109,9.391
RF,METEO,t+4,test,7.27440308506085,144,9.2917,11.4262,0.1831,35,8.8226,109,9.4423
RF,METEO,t+5,test,7.27440308506085,144,9.5311,11.5703,0.1606,35,9.8782,109,9.4196
